,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
duration,PT1H4M43S,PT2M10S,PT1H32M54S,PT42M6S,PT11M39S,PT3M16S,PT5M49S,PT34M57S,PT40M33S,PT1H39M35S,PT4M13S,PT1H59M,PT6M26S,PT11M10S,PT3M15S,PT14M35S,PT3M32S,PT1M59S,PT5M46S,PT3M,PT19M8S,PT6M25S,PT2M51S,PT45M38S,PT13M27S,PT15M4S,PT17M59S,PT4M55S,PT6M47S,PT32M53S,PT2M53S,PT34M10S,PT3M53S,PT32M44S,PT31M32S,PT12M39S,PT2H5M51S,PT9M40S,PT1H11M46S,PT5M16S,PT7M30S,PT3M59S,PT10M51S,PT4M46S,PT2M57S,PT3M29S,PT1H24M3S,PT1H27M15S,PT10M58S,PT3H11M42S
dimension,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d,2d
definition,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd,hd
caption,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
licensedContent,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
regionRestriction,"{'allowed': ['AO', 'BF', 'BI', 'BJ', 'BW', 'CD', 'CF', 'CG', 'CI', 'CM', 'CV', 'DJ', 'ER', 'ET', 'GA', 'GH', 'GM', 'GN', 'GQ', 'GW', 'KE', 'KM', 'LR', 'LS', 'MG', 'ML', 'MR', 'MU', 'MW', 'MZ', 'NA', 'NE', 'NG', 'RW', 'SC', 'SD', 'SL', 'SN', 'SO', 'SS', 'ST', 'SZ', 'TD', 'TG', 'TZ', 'UG', 'ZA', 'ZM', 'ZW']}","{'blocked': ['AT', 'CH', 'DE']}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contentRating,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
projection,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular,rectangular
